iter	Passed	Remaining
0	135	135151
1	137	68603
2	139	46261
3	141	35113
4	142	28364
5	144	23897
6	146	20719
7	147	18257
8	148	16344
9	149	14806
10	150	13519
11	151	12450
12	152	11543
13	152	10766
14	153	10092
15	154	9486
16	154	8951
17	155	8475
18	155	8049
19	156	7667
20	157	7361
21	159	7084
22	160	6803
23	160	6545
24	161	6305
25	162	6080
26	162	5871
27	163	5686
28	164	5505
29	164	5334
30	165	5174
31	166	5023
32	166	4889
33	167	4764
34	168	4639
35	168	4521
36	169	4409
37	170	4305
38	170	4205
39	171	4110
40	171	4021
41	172	3940
42	173	3860
43	174	3781
44	174	3705
45	175	3632
46	175	3563
47	176	3497
48	176	3433
49	177	3379
50	178	3320
51	179	3264
52	179	3209
53	180	3155
54	180	3104
55	181	3055
56	181	3006
57	182	2960
58	182	2916
59	183	2873
60	184	2832
61	184	2792
62	185	2753
63	185	2715
64	186	2679
65	186	2643
66	187	2609
67	188	2576
68	188	2544
69	189	2513
70	189	2482
71	190	2452
72	190	2422
73	191	2394
74	191	2366
75	192	2339
76	192	2312
77	193	2286
78	193	2261
79	194	2237
80	195	2213
81	195	2189
82	195	2164
83	196	2142
84	197	2120
85	197	2101
86	198	2081
87	198	2061
88	199	2041
89	200	2022
90	200	2003
91	201	1984
92	201	1966
93	202	1948
94	202	1932
95	203	1916
96	204	1899
97	204	1883
98	205	1867
99	205	1851
100	206	1836
101	206	1821
102	207	1806
103	208	1792
104	208	1778
105	209	1764
106	209	1751
107	210	1738
108	211	1725
109	211	1712
110	212	1700
111	212	1688
112	213	1676
113	214	1665
114	214	1653
115	215	1642
116	216	1630
117	216	1619
118	217	1608
119	218	1599
120	218	1589
121	219	1579
122	220	1569
123	220	1560
124	221	1551
125	222	1542
126	222	1531
127	223	1522
128	224	1513
129	224	1504
130	225	1495
131	226	1486
132	226	1478
133	227	1470
134	228	1462
135	228	1453
136	229	1444
137	229	1436
138	230	1428
139	231	1420
140	231	1413
141	232	1404
142	233	1396
143	233	1390
144	234	1382
145	235	1375
146	235	1368
147	236	1360
148	237	1353
149	237	1346
150	238	1340
151	238	1333
152	239	1326
153	240	1319
154	240	1312
155	241	1307
156	242	1300
157	242	1294
158	243	1287
159	244	1281
160	244	1274
161	245	1268
162	245	1261
163	246	1255
164	246	1249
165	247	1244
166	248	1238
167	249	1233
168	249	1228
169	250	1222
170	251	1217
171	251	1211
172	252	1206
173	252	1200
174	253	1195
175	254	1190
176	254	1184
177	255	1179
178	256	1176
179	257	1172
180	258	1169
181	260	1172
